Team,Quarterbacks,Running Backs,Wide Receivers,Tight Ends,Kickers
ARI,Joshua Dobbs (N),James Conner,Marquise Brown,Zach Ertz (PUP),Matt Prater
,Clayton Tune (R),Keaontay Ingram,Rondale Moore,Trey McBride,
,Kyler Murray (PUP),Emari Demarcado (N),Michael Wilson (R),Bernhard Seikovits,
,,,Greg Dortch,,
,,,Zach Pascal (N),,
,,,Andre Baccellia,,
ATL,Desmond Ridder,Bijan Robinson (R),Drake London,Kyle Pitts,Younghoe Koo
,Taylor Heinicke (N),Tyler Allgeier,Mack Hollins (N),Jonnu Smith (N),
,Logan Woodside,Cordarrelle Patterson,Scotty Miller (N),,
,,,KhaDarel Hodge,,
,,,Josh Ali,,
BAL,Lamar Jackson,J.K. Dobbins (PUP),Odell Beckham Jr. (N),Mark Andrews,Justin Tucker
,Tyler Huntley,Gus Edwards,Rashod Bateman,Isaiah Likely,
,,Justice Hill,Zay Flowers (R),Charlie Kolar,
,,Keaton Mitchell (R) (IR),Devin Duvernay,,
,,,Nelson Agholor (N),,
,,,Tylan Wallace,,
BUF,Josh Allen,James Cook,Stefon Diggs,Dawson Knox,Tyler Bass
,Kyle Allen (N),Damien Harris (N),Gabe Davis,Dalton Kincaid (R),
,,Latavius Murray (N),Deonte Harty (N),Quintin Morris,
,,Ty Johnson (N),Trent Sherfield (N),,
,,,Khalil Shakir,,
,,,Justin Shorter (R),,
CAR,Bryce Young (R),Miles Sanders (N),Adam Thielen (N),Hayden Hurst (N),Eddy Pineiro
,Andy Dalton (N),Chuba Hubbard,DJ Chark Jr. (N),Ian Thomas,
,,Raheem Blackshear,Jonathan Mingo (R),Tommy Tremble,
,,,Terrace Marshall Jr.,,
,,,Ihmir Smith-Marsette (N),,
,,,Laviska Shenault Jr.,,
CHI,Justin Fields,Khalil Herbert,DJ Moore (N),Cole Kmet,Cairo Santos
,Tyson Bagent (R),D'Onta Foreman (N),Darnell Mooney,Robert Tonyan (N),
,,Roschon Johnson (R),Chase Claypool,Marcedes Lewis (N),
,,Travis Homer (N),Equanimeous St. Brown,,
,,,Tyler Scott (R),,
,,,Dante Pettis,,
,,,Velus Jones Jr.,,
CIN,Joe Burrow,Joe Mixon,Ja'Marr Chase,Irv Smith (N),Evan McPherson
,Jake Browning,Trayveon Williams,Tee Higgins,Drew Sample,
,Will Grier (N),Chase Brown (R),Tyler Boyd,,
,,Chris Evans,Trenton Irwin,,
,,,Andrei Iosivas (R),,
,,,Charlie Jones (R),,
CLE,Deshaun Watson,Nick Chubb,Amari Cooper,David Njoku,Dustin Hopkins (N)
,Dorian Thompson-Robinson (R),Jerome Ford,Elijah Moore (N),Jordan Akins (N),
,,Pierre Strong (N),Donovan Peoples-Jones,Harrison Bryant,
,,Hassan Hall (R),Cedric Tillman (R),,
,,,Marquise Goodwin (N),,
,,,David Bell,,
DAL,Dak Prescott,Tony Pollard,CeeDee Lamb,Jake Ferguson,Brandon Aubrey (N)
,Cooper Rush,Rico Dowdle,Brandin Cooks (N),Luke Schoonmaker (R),
,Trey Lance (N),Deuce Vaughn (R),Michael Gallup,Peyton Hendershot,
,,Hunter Luepke (N),Jalen Tolbert,,
,,Ronald Jones (N) (SUS),KaVontae Turpin,,
DEN,Russell Wilson,Javonte Williams,Jerry Jeudy,Greg Dulcich,Wil Lutz (N)
,Jarrett Stidham (N),Samaje Perine (N),Courtland Sutton,Chris Manhertz,
,,Emmanuel Wilson (R),Marvin Mims (R),Adam Trautman,
,,,Tim Patrick (IR),,
DET,Jared Goff,Jahmyr Gibbs (R),Amon-Ra St. Brown,Sam LaPorta (R),Riley Patterson (N)
,Teddy Bridgewater (N),David Montgomery (N),Marvin Jones (N),Brock Wright,
,Hendon Hooker (R),Jason Cabinda,Josh Reynolds,James Mitchell,
,,,Jameson Williams (SUS),,
,,,Kalif Raymond,,
,,,Antoine Green (R),,
GB,Jordan Love,Aaron Jones,Christian Watson,Luke Musgrave (R),Anders Carlson (R)
,Sean Clifford (R),AJ Dillon,Romeo Doubs,Tucker Kraft (R),
,,Emanuel Wilson (N),Jayden Reed (R),Josiah Deguara,
,,,Dontayvion Wicks (R),Tyler Davis,
,,,Samori Toure,,
,,,Malik Heath (R),,
HOU,C.J. Stroud (R),Dameon Pierce,Robert Woods (N),Dalton Schultz (N),Ka'imi Fairbairn
,Davis Mills,Devin Singletary (N),Nico Collins,Teagan Quitoriano,
,Case Keenum (N),Dare Ogunbowale,John Metchie,Brevin Jordan,
,,,Tank Dell (R),,
,,,Noah Brown (N),,
,,,Xavier Hutchinson (R),,
IND,Anthony Richardson (R),Jonathan Taylor (PUP),Michael Pittman Jr.,Mo Alie-Cox,Matt Gay (N)
,Gardner Minshew (N),Deon Jackson,Alec Pierce,Will Mallory (R),
,,Zack Moss,Isaiah McKenzie (N),Jelani Woods (IR),
,,Evan Hull (R),Josh Downs (R),Ricky Seals-Jones (IR),
,,,Mike Strachan,,
,,,Amari Rodgers (N),,
JAC,Trevor Lawrence,Travis Etienne,Calvin Ridley,Evan Engram,Brandon McManus (N)
,C.J. Beathard,Tank Bigsby (R),Christian Kirk,Brenton Strange (R),
,,D'Ernest Johnson (N),Zay Jones,Luke Farrell,
,,JaMycal Hasty,Jamal Agnew,,
,,,Tim X. Jones,,
,,,Parker Washington (R),,
KC,Patrick Mahomes,Isiah Pacheco,Kadarius Toney,Travis Kelce,Harrison Butker
,Blaine Gabbert,Jerick McKinnon,Skyy Moore,Noah Gray,
,,Clyde Edwards-Helaire,Marquez Valdes-Scantling,Blake Bell,
,,,Rashee Rice (R),,
,,,Justyn Ross,,
,,,Justin Watson,,
,,,Richie James (N),,
LVR,Jimmy Garoppolo (N),Josh Jacobs,Davante Adams,Austin Hooper (N),Daniel Carlson
,Brian Hoyer (N),Zamir White,Jakobi Meyers (N),Michael Mayer (R),
,Aidan O'Connell,Ameer Abdullah,Hunter Renfrow,,
,,Brandon Bolden,Tre Tucker (R),,
,,,DeAndre Carter (N),,
LAC,Justin Herbert,Austin Ekeler,Keenan Allen,Gerald Everett,Cameron Dicker
,Easton Stick,Joshua Kelley,Mike Williams,Donald Parham (N),
,Max Duggan (R),Isaiah Spiller,Quentin Johnston (R),Tre' McKitty,
,,Elijah Dotson (R),Joshua Palmer,,
,,,Derius Davis (R),,
,,,Jalen Guyton (PUP),,
LAR,Matthew Stafford,Cam Akers,Cooper Kupp,Tyler Higbee,Brett Maher (N)
,Stetson Bennett (R),Zach Evans (R),Van Jefferson,Brycen Hopkins,
,Brett Rypien (N),Kyren Williams,Ben Skowronek,Davis Allen (R),
,,Ronnie Rivers,Puka Nacua (R),Hunter Long (N),
